ip_prime,ip_related,score
54.163.217.167,34.238.124.121,1.0
54.163.217.167,44.202.110.152,1.0
54.163.217.167,35.173.232.9,1.0
54.163.217.167,3.87.194.15,1.0
54.163.217.167,3.84.141.46,1.0
54.163.217.167,18.212.30.66,1.0
54.163.217.167,3.92.189.172,1.0
54.163.217.167,3.84.165.187,1.0
54.163.217.167,18.206.253.188,1.0
54.163.217.167,54.175.145.80,1.0
54.163.217.167,54.145.128.141,1.0
54.163.217.167,3.86.35.228,1.0
54.163.217.167,3.87.223.85,1.0
54.163.217.167,44.211.147.124,1.0
54.163.217.167,44.207.3.140,1.0
54.163.217.167,44.205.255.120,1.0
54.163.217.167,54.205.75.30,1.0
54.163.217.167,52.90.192.110,1.0
54.163.217.167,18.212.8.176,1.0
54.163.217.167,54.89.177.61,1.0
54.163.217.167,18.212.170.17,1.0
54.163.217.167,34.207.160.169,1.0
54.163.217.167,54.147.235.186,1.0
54.163.217.167,3.87.72.45,1.0
54.163.217.167,44.204.91.176,1.0
54.163.217.167,3.84.188.25,1.0
54.163.217.167,44.201.161.56,1.0
54.163.217.167,54.196.9.71,1.0
54.163.217.167,3.85.99.192,1.0
54.163.217.167,52.91.46.83,1.0
54.163.217.167,44.202.142.160,1.0
54.163.217.167,44.206.226.104,1.0
54.163.217.167,3.86.250.246,1.0
54.163.217.167,54.227.91.180,1.0
54.163.217.167,35.173.193.117,1.0
54.163.217.167,54.205.100.176,1.0
54.163.217.167,44.210.131.221,1.0
54.163.217.167,54.210.130.75,1.0
54.163.217.167,44.203.187.236,1.0
54.163.217.167,54.145.123.156,1.0
54.163.217.167,3.82.232.226,1.0
54.163.217.167,184.72.181.153,1.0
54.163.217.167,107.20.90.171,1.0
54.163.217.167,3.88.161.204,1.0
54.163.217.167,3.92.194.46,1.0
54.163.217.167,3.87.195.38,1.0
54.163.217.167,18.234.221.54,1.0
54.163.217.167,54.226.48.130,1.0
54.163.217.167,44.204.181.185,1.0
54.163.217.167,3.80.94.151,1.0
54.163.217.167,3.82.69.157,1.0
52.23.167.222,34.200.226.43,1.0
52.23.167.222,54.226.68.19,1.0
52.23.167.222,3.85.238.72,1.0
52.23.167.222,44.212.31.24,1.0
52.23.167.222,54.175.116.39,1.0
52.23.167.222,54.209.149.110,1.0
52.23.167.222,34.203.227.3,1.0
52.23.167.222,44.211.219.224,1.0
52.23.167.222,54.91.251.171,1.0
52.23.167.222,44.208.164.102,1.0
52.23.167.222,54.196.146.90,1.0
52.23.167.222,44.210.141.151,1.0
52.23.167.222,54.159.228.118,1.0
52.23.167.222,3.80.58.16,1.0
52.23.167.222,34.239.111.4,1.0
52.23.167.222,3.92.217.203,1.0
52.23.167.222,18.212.193.205,1.0
52.23.167.222,54.205.42.152,1.0
52.23.167.222,54.196.217.25,1.0
52.23.167.222,44.204.60.176,1.0
52.23.167.222,3.82.221.201,1.0
52.23.167.222,3.87.141.27,1.0
52.23.167.222,54.165.159.37,1.0
52.23.167.222,18.212.16.77,1.0
52.23.167.222,18.208.184.172,1.0
52.23.167.222,3.88.196.170,1.0
52.23.167.222,44.210.142.3,1.0
52.23.167.222,34.201.114.35,1.0
52.23.167.222,3.84.197.199,1.0
52.23.167.222,54.236.219.190,1.0
52.23.167.222,54.161.202.210,1.0
52.23.167.222,3.82.212.228,1.0
52.23.167.222,54.89.50.119,1.0
52.23.167.222,54.234.88.5,1.0
52.23.167.222,35.172.183.197,1.0
52.23.167.222,3.80.83.206,1.0
52.23.167.222,3.92.176.171,1.0
52.23.167.222,44.201.160.153,1.0
52.23.167.222,3.95.205.225,1.0
52.23.167.222,3.82.144.240,1.0
52.23.167.222,34.205.141.216,1.0
52.23.167.222,3.84.201.71,1.0
52.23.167.222,3.82.186.183,1.0
52.23.167.222,52.90.75.167,1.0
52.23.167.222,44.202.242.160,1.0
52.23.167.222,54.85.159.247,1.0
52.23.167.222,34.238.39.74,1.0
52.23.167.222,44.203.255.125,1.0
52.23.167.222,18.205.158.88,1.0
52.23.167.222,54.89.49.234,1.0
52.23.167.222,44.211.81.135,1.0
91.246.58.131,146.70.128.34,0.959559
91.246.58.131,5.254.18.194,0.9551927
91.246.58.131,146.70.125.34,0.95488966
91.246.58.131,159.242.234.165,0.9507344
91.246.58.131,193.19.207.103,0.9468139
91.246.58.131,193.19.207.91,0.9440421
91.246.58.131,193.19.207.107,0.94393736
91.246.58.131,193.19.207.119,0.9437251
91.246.58.131,45.135.184.117,0.9420373
91.246.58.131,196.196.150.102,0.9403973
91.246.58.131,193.19.206.69,0.9395004
91.246.58.131,196.196.150.70,0.93828374
91.246.58.131,85.203.45.209,0.93792915
91.246.58.131,45.8.17.52,0.9379092
91.246.58.131,193.19.207.87,0.93788195
91.246.58.131,193.19.207.115,0.93778276
91.246.58.131,45.86.202.98,0.93778265
91.246.58.131,193.19.207.111,0.9370204
91.246.58.131,193.19.207.99,0.9363129
91.246.58.131,5.254.16.231,0.93553686
91.246.58.131,193.19.207.95,0.9336571
91.246.58.131,192.154.248.9,0.9323606
91.246.58.131,104.37.3.140,0.9257399
91.246.58.131,84.17.58.15,0.92487365
91.246.58.131,5.254.31.194,0.92274344
91.246.58.131,45.134.213.250,0.91812307
91.246.58.131,156.146.33.230,0.9153613
91.246.58.131,172.94.53.7,0.90493727
91.246.58.131,156.146.46.77,0.9043133
91.246.58.131,194.71.217.75,0.8998687
91.246.58.131,156.146.46.95,0.89699596
91.246.58.131,5.254.23.194,0.89551705
91.246.58.131,104.250.176.2,0.8930935
91.246.58.131,185.195.58.233,0.8926443
91.246.58.131,156.146.46.158,0.8909306
91.246.58.131,82.102.17.182,0.8891959
91.246.58.131,81.19.209.17,0.8891828
91.246.58.131,37.19.217.148,0.8847772
91.246.58.131,178.249.211.205,0.8831789
91.246.58.131,45.132.226.197,0.8813707
91.246.58.131,212.30.37.185,0.88058585
91.246.58.131,159.242.234.111,0.8780995
91.246.58.131,92.38.180.48,0.8772737
91.246.58.131,92.38.180.117,0.87674385
91.246.58.131,92.38.180.57,0.8765317
91.246.58.131,102.165.48.45,0.8742195
91.246.58.131,45.134.22.245,0.87091446
91.246.58.131,169.57.3.196,0.8701179
91.246.58.131,156.146.46.91,0.8698767
91.246.58.131,159.242.234.92,0.8670184
35.171.146.218,3.236.173.196,1.0
35.171.146.218,34.232.80.32,1.0
35.171.146.218,34.239.170.54,1.0
35.171.146.218,44.192.53.34,1.0
35.171.146.218,3.239.100.20,1.0
35.171.146.218,44.211.240.104,1.0
35.171.146.218,44.210.77.251,1.0
35.171.146.218,44.210.109.227,1.0
35.171.146.218,3.239.54.71,1.0
35.171.146.218,3.229.124.119,1.0
35.171.146.218,3.235.21.188,1.0
35.171.146.218,3.235.25.254,1.0
35.171.146.218,3.235.147.29,1.0
35.171.146.218,3.239.6.252,0.97239614
35.171.146.218,3.237.30.60,0.8438626
35.171.146.218,3.236.207.1,0.8438626
35.171.146.218,3.237.26.92,0.8438626
35.171.146.218,35.175.212.71,0.8438626
35.171.146.218,100.25.42.26,0.8438626
35.171.146.218,34.236.38.80,0.8438626
35.171.146.218,3.92.91.255,0.8438626
35.171.146.218,34.239.151.77,0.8438626
35.171.146.218,35.175.187.252,0.8438626
35.171.146.218,44.200.178.143,0.8438626
35.171.146.218,34.239.151.70,0.8438626
35.171.146.218,3.238.26.210,0.8438626
35.171.146.218,35.172.224.163,0.8363693
35.171.146.218,44.210.150.142,0.8353149
35.171.146.218,44.210.80.240,0.8353149
35.171.146.218,44.197.197.107,0.8353149
35.171.146.218,18.205.66.232,0.8353149
35.171.146.218,44.210.241.183,0.8353149
35.171.146.218,44.192.83.242,0.8353149
35.171.146.218,34.232.62.131,0.8353149
35.171.146.218,3.236.58.33,0.8353149
35.171.146.218,35.168.36.179,0.8034592
35.171.146.218,3.234.221.228,0.8034592
35.171.146.218,35.175.187.91,0.8034592
35.171.146.218,3.238.238.235,0.8034592
35.171.146.218,3.237.16.182,0.8034592
35.171.146.218,44.210.242.43,0.8034592
35.171.146.218,3.226.72.168,0.8034592
35.171.146.218,3.229.113.206,0.8034592
35.171.146.218,3.235.56.45,0.8034592
35.171.146.218,44.200.104.155,0.8034592
35.171.146.218,44.192.114.78,0.8034592
35.171.146.218,3.238.240.147,0.8034592
35.171.146.218,3.237.47.114,0.8034592
35.171.146.218,35.173.47.201,0.8034592
35.171.146.218,3.238.225.17,0.8034592
18.209.99.212,34.239.246.59,0.88604087
18.209.99.212,54.197.35.51,0.8813845
18.209.99.212,18.232.121.176,0.88117397
18.209.99.212,3.92.144.202,0.87625617
18.209.99.212,54.163.144.30,0.87310016
18.209.99.212,54.152.94.218,0.87259537
18.209.99.212,54.196.64.171,0.87243456
18.209.99.212,3.92.77.136,0.8719796
18.209.99.212,54.87.193.141,0.8716578
18.209.99.212,3.91.245.204,0.8716471
18.209.99.212,3.83.240.43,0.8716117
18.209.99.212,34.239.48.130,0.8712612
18.209.99.212,54.224.251.246,0.87115115
18.209.99.212,54.80.249.170,0.87031627
18.209.99.212,3.83.173.230,0.8699996
18.209.99.212,18.212.110.89,0.86967766
18.209.99.212,174.129.65.79,0.86893535
18.209.99.212,44.203.254.239,0.8689319
18.209.99.212,44.202.23.11,0.8684544
18.209.99.212,54.174.107.141,0.8683305
18.209.99.212,44.202.162.124,0.8675166
18.209.99.212,54.211.194.222,0.86728054
18.209.99.212,34.203.216.195,0.8672707
18.209.99.212,3.95.251.141,0.8672686
18.209.99.212,44.202.122.237,0.86721045
18.209.99.212,3.89.241.210,0.86709285
18.209.99.212,54.162.217.243,0.86656946
18.209.99.212,52.90.94.189,0.8663762
18.209.99.212,52.87.226.119,0.8659908
18.209.99.212,3.84.142.226,0.8658273
18.209.99.212,3.82.99.244,0.86577225
18.209.99.212,23.20.176.51,0.86546427
18.209.99.212,52.90.9.123,0.86541736
18.209.99.212,52.205.55.161,0.8648632
18.209.99.212,52.87.229.136,0.86433077
18.209.99.212,54.166.165.185,0.8642531
18.209.99.212,34.201.98.56,0.8641449
18.209.99.212,54.172.234.48,0.8640863
18.209.99.212,34.239.111.75,0.86364084
18.209.99.212,54.152.103.184,0.8634112
18.209.99.212,54.224.225.73,0.8630052
18.209.99.212,54.86.74.52,0.86252624
